stop_id,stop_name,stop_lat,stop_lon
KDMT_40,Thana Naka/Garden Hotel,18.99859,73.1094
KDMT_42,New Panvel Bridge,18.99477,73.11421
KDMT_41,Panvel ST Stand,18.9906,73.1157
KDMT_43,Panvel Station,18.9892,73.12065
KDMT_482,Sahjanand Chowk,19.24376,73.129
KDMT_97,Ram Tempale,19.24567,73.1133
KDMT_98,Kon Gaon,19.24704,73.10808
KDMT_101,Samarth Engineering,19.25017,73.1029
KDMT_100,Gove,19.25639,73.09533
KDMT_102,Pimpalghar,19.26034,73.09162
KDMT_581,Pimpalghar,19.2574,73.06519
KDMT_103,Satnam Industries,19.26378,73.08764
KDMT_104,Ranjnoli,19.26909,73.08363
KDMT_579,Temghar Fata,19.26621,73.07843
KDMT_580,Pimpalas Fata,19.26321,73.07387
KDMT_582,HP Petrol Pump,19.25007,73.05358
KDMT_583,Indian Oil,19.24325,73.0446
KDMT_584,Mankoli,19.24044,73.04122
KDMT_82,Newali Pada,19.17573,73.15032
KDMT_415,Mangrul,19.17103,73.15292
KDMT_84,Kakadval,19.16375,73.15533
KDMT_85,Kharad,19.15648,73.16019
KDMT_86,Aambe,19.15043,73.16267
KDMT_87,Kushivali,19.13948,73.16264
KDMT_265,Khadi Machine,19.13467,73.16238
KDMT_88,Malangad,19.12268,73.16299
KDMT_81,Newali,19.17749,73.14869
KDMT_272,Bajiprabhu Chowk (Dombivali),19.21775,73.08882
KDMT_318,Char Rasta,19.21425,73.09106
TMT_3379,Char Rasta,19.214356017,73.091004923
KDMT_510,Gaon Devi,19.21099,73.09292
TMT_1484,Gaondevi,19.1849624,72.9733306
TMT_851,Gaondevi,19.1849528,72.9733401
TMT_2995,Gaondevi,19.1848458,72.9733798
TMT_3029,Gaondevi,19.1849497,72.9733476
KDMT_338,Vijya Bank,19.20856,73.09423
KDMT_319,Udyog Nagar,19.20646,73.09531
KDMT_320,Star Colony,19.20342,73.09543
KDMT_511,Sai Baba Mandir,19.20255,73.09522
KDMT_513,Sai Baba Mandir,19.16285,73.0753
TMT_1095,Saibaba Mandir,19.191607,72.9456659
TMT_2459,Saibaba Mandir,19.27417385,73.0796491
TMT_2439,Saibaba Mandir,19.2744952,73.07978879999999
VVMT_657,Sai Baba Mandir,19.47231084,72.8331523
KDMT_321,Sagaon,19.19885,73.09434
KDMT_512,Sanghvi Estate,19.19597,73.09348
KDMT_124,Pimpaleshwar,19.19251,73.09604
KDMT_322,Anand Chemical/ D Mart,19.19229,73.09255
KDMT_127,Manpada,19.18672,73.09189
TMT_1714,Manpada,19.235128666090908,72.976108009
TMT_4850,Manpada,19.2352,72.9763
TMT_1544,Manpada,19.2351282,72.9763276
TMT_1936,Manpada,19.2351101,72.9763315
TMT_3184,Manpada,19.2352851,72.9762868
TMT_3175,Manpada,19.2349981,72.9758925
TMT_3262,Manpada,19.2352855,72.9762869
TMT_3243,Manpada,19.2365172,72.9755916
TMT_3801,Manpada,19.2351,72.976
BEST_37273,Manpada,19.235182,72.97628
